datasetName,testSetSize,totNumFlaky,totNumNonFlaky,numFlakyTrain,numNonFlakyTrain,numFlakyTest,numNonFlakyTest,totTrainTime,totTestTime,avgTestTime,f1Score,Precision,Recall,Accuracy,Sensitivity,Specificity,tp,fp,fn,tn,tp_norm,fp_norm,fn_norm,tn_norm
PalombaEtAl_apache-wicket,0.85,216,1866,32,280,184,1586,0.141820677,0.842264257,0.000475856,-,-,0,0.896045198,0,1,0,0,184,1586,-,-,-,-
PalombaEtAl_apache-wicket,0.2,216,1866,173,1492,43,374,0.755718021,0.240945392,0.000577807,0.050056117,0.888888889,0.023255814,0.898800959,0.023255814,0.999465241,1,0.2,42,373.8,0.833333333,0.166666667,0.101010101,0.898989899
PalombaEtAl_apache-wicket,0.35,216,1866,140,1213,76,653,0.6139573,0.39252399,0.000538442,0.047716893,0.833333333,0.019736842,0.897530864,0.019736842,0.999693721,1.5,0.2,74.5,652.8,0.882352941,0.117647059,0.102433659,0.897566341
PalombaEtAl_apache-wicket,0.25,216,1866,162,1399,54,467,0.70840753,0.291496067,0.000559493,0.03982684,0.666666667,0.018518519,0.897504798,0.018518519,0.999143469,1,0.4,53,466.6,0.714285714,0.285714286,0.10200154,0.89799846
PalombaEtAl_apache-wicket,0.15,216,1866,184,1585,32,281,0.802718791,0.182855795,0.000584204,0.101928953,0.895833333,0.04375,0.901597444,0.04375,0.999288256,1.4,0.2,30.6,280.8,0.875,0.125,0.098265896,0.901734104
PalombaEtAl_apache-wicket,0.75,216,1866,54,466,162,1400,0.236015831,0.765954143,0.000490368,-,-,0,0.896286812,0,1,0,0,162,1400,-,-,-,-
PalombaEtAl_apache-wicket,0.9,216,1866,22,186,194,1680,0.094696444,0.882944598,0.000471155,-,-,0,0.896478122,0,1,0,0,194,1680,-,-,-,-
PalombaEtAl_apache-wicket,0.65,216,1866,76,652,140,1214,0.331003342,0.698897147,0.000516172,0.009389671,0.333333333,0.001428571,0.896602659,0.001428571,0.999835255,0.2,0.2,139.8,1213.8,0.5,0.5,0.103280142,0.896719858
PalombaEtAl_apache-wicket,0.8,216,1866,43,373,173,1493,0.188854057,0.800446758,0.00048046,0,0,0,0.896098439,0,0.999933021,0,0.1,173,1492.9,0,1,0.10384777,0.89615223
PalombaEtAl_lucene-solr,0.7,7,5327,2,1598,5,3729,1.288211324,3.322523262,0.000889803,-,-,0,0.998660953,0,1,0,0,5,3729,-,-,-,-
PalombaEtAl_lucene-solr,0.6,7,5327,3,2130,4,3197,1.717589201,2.935754494,0.000917137,-,-,0,0.998750391,0,1,0,0,4,3197,-,-,-,-
PalombaEtAl_lucene-solr,0.45,7,5327,4,2929,3,2398,2.361229265,2.300785257,0.000958261,-,-,0,0.998750521,0,1,0,0,3,2398,-,-,-,-
