datasetName,testSetSize,totNumFlaky,totNumNonFlaky,numFlakyTrain,numNonFlakyTrain,numFlakyTest,numNonFlakyTest,totTrainTime,totTestTime,avgTestTime,f1Score,Precision,Recall,Accuracy,Sensitivity,Specificity,tp,fp,fn,tn,tp_norm,fp_norm,fn_norm,tn_norm
PalombaEtAl_apache-pig,0.25,1268,3528,951,2646,317,882,2.050989214,1.081025427,0.000901606,0.845278095,0.869226272,0.823028391,0.920350292,0.823028391,0.955328798,260.9,39.4,56.1,842.6,0.868797869,0.131202131,0.062423501,0.937576499
PalombaEtAl_apache-qpid,0.25,271,1895,203,1421,68,474,1.026823464,0.422648614,0.000779794,0.70034159,0.814484606,0.616176471,0.933948339,0.616176471,0.979535865,41.9,9.7,26.1,464.3,0.812015504,0.187984496,0.05322186,0.94677814
PalombaEtAl_apache-qpid,0.35,271,1895,176,1231,95,664,0.889526568,0.56624169,0.000746036,0.66668792,0.816563517,0.564210526,0.929512516,0.564210526,0.981777108,53.6,12.1,41.4,651.9,0.815829528,0.184170472,0.059714409,0.940285591
PalombaEtAl_apache-qpid,0.45,271,1895,149,1042,122,853,0.752541139,0.701754598,0.000719748,0.651734304,0.792682596,0.554918033,0.925948718,0.554918033,0.97901524,67.7,17.9,54.3,835.1,0.79088785,0.20911215,0.061052395,0.938947605
PalombaEtAl_apache-qpid,0.85,271,1895,41,283,230,1612,0.205079654,1.220945908,0.000662837,0.394944078,0.777481952,0.265652174,0.898859935,0.265652174,0.989205955,61.1,17.4,168.9,1594.6,0.778343949,0.221656051,0.095775447,0.904224553
PalombaEtAl_apache-qpid,0.95,271,1895,14,94,257,1801,0.06874088,1.33074495,0.00064662,0.186663892,0.806771172,0.108171206,0.885519922,0.108171206,0.996446419,27.8,6.4,229.2,1794.6,0.812865497,0.187134503,0.113252298,0.886747702
PalombaEtAl_apache-qpid,0.9,271,1895,27,189,244,1706,0.136980806,1.276257526,0.000654491,0.333819174,0.841730695,0.210245902,0.89625641,0.210245902,0.994372802,51.3,9.6,192.7,1696.4,0.842364532,0.157635468,0.102006246,0.897993754
PalombaEtAl_apache-qpid,0.55,271,1895,122,852,149,1043,0.616078402,0.846611901,0.000710245,0.62073477,0.804101057,0.506040268,0.922818792,0.506040268,0.982358581,75.4,18.4,73.6,1024.6,0.803837953,0.196162047,0.067018758,0.932981242
PalombaEtAl_apache-qpid,0.8,271,1895,54,379,217,1516,0.27398068,1.156899166,0.00066757,0.447743416,0.776666123,0.316589862,0.902942874,0.316589862,0.986873351,68.7,19.9,148.3,1496.1,0.775395034,0.224604966,0.09018487,0.90981513
PalombaEtAl_apache-qpid,0.5,271,1895,135.3,947.7,135.7,947.3,0.68488974,0.776184198,0.000716698,0.635284786,0.805751083,0.526198257,0.924376731,0.526160648,0.98142088,71.4,17.6,64.3,929.7,0.802247191,0.197752809,0.064688129,0.935311871
